,ktr,gam,slope_ven_blast,slope_ven_wbc,B,Xl1,B0,p1,bi
3841,0.6666666677777767,0.06748746529709496,0.0004946278630431357,0.004186977992423565,0.5811884023335544,7.808397254029655e-05,1.4985361025601955,0.05082181916059107,0.6666666677777783
1666,0.1535386410384858,0.666666667777772,2.41756830273819,1.9861660988964924,1.8433622084002088,0.34937745210463106,0.38339388815212794,0.05269893145338806,0.00038683843426738217
4098,0.23575423262871717,0.624378047025358,4.285714286734693,0.6044630656722423,0.7360770331174102,0.3122656274603046,0.5041260021266816,0.007127201212813422,0.08107421398593413
8322,0.08149170648924552,0.46908498846318447,0.4029912930274934,1.4427179748062715,1.0389916686655953,0.4999998461962147,1.1769782044024721,0.021648963507305243,0.0005614047431847329
3717,0.21260035532015348,0.49550526980822857,2.8048339931403365,3.352680088892522,0.7429565735029571,0.739446620634636,0.3200776817139966,0.061033917041642655,0.3367324082611102
7687,0.028923063648114013,0.6666666677777775,2.4819461804851,2.1376620588509416,2.3481899754442286,0.08778547376873926,1.0587726068846128,0.022285368878558337,0.25421228559288833
3339,0.23817832902478478,0.5915086812991525,0.6281467042008154,1.0000016354945043,1.7550505826252438,0.4112430768855999,0.3393315070472217,0.009081877119397074,0.11382051891764305
8205,0.11598230865068697,0.618585487107341,0.14859062203907655,4.285714286734687,2.9684944139641574,0.0007138078317138819,0.31989366887378584,0.024342835777146025,0.6666666677777767
9102,0.19016092774335286,0.2564389283921653,1.0630017888533558,0.8664256882239734,6.795648438929791,0.6870299752755071,0.00015196134431711333,0.9149506737500382,0.014544542840715765
9357,0.24278086997424542,0.6394432207180626,4.285714286734692,2.5513600274798938,1.2106952627787302,0.07218930625863405,0.17751031261895947,0.0017485487769196909,0.04233944129853228
6416,,,,,,,,,
3347,0.23584896047782436,0.22478684245946556,0.8098823831282286,1.015031424483172,4.45905431334105,0.18346909073066975,0.9800063279238618,0.10978408522714653,0.00015321193119896401
6804,0.17722857739927578,0.6665729710930949,1.7050830059946056,1.202977778140379,3.369043574910771,0.7867498761885214,0.5625864379772005,0.06364517617842859,0.2897943589610605
8725,0.41567710259574897,0.02001526286971116,4.285714286734687,0.03203249142372712,0.7505978194716617,0.4419489585765862,0.026252879930878874,0.005379748608132972,0.006058036411985086
9109,0.14329137980890538,0.6666666053896892,2.283192033707894,0.8164260441398603,1.3678395184765613,0.7995832195477691,0.07502389374222893,0.06911803524220735,0.42029834947272526
8216,0.35571052529987424,0.6666666677777767,2.571311809622359,0.6992139579234723,2.044402499934654,0.29759037696723867,0.13464905767684968,0.036639205697880456,0.00040493389470436437
5276,0.6666663055700869,0.6664024086689213,0.7203467789221413,0.032033420584357986,0.32870141190386915,0.33470154371375377,0.6494765992192619,0.3605832369001264,0.04109930674392678
3101,0.10551068245313762,0.6666666677777751,2.555570329823438,0.5018013033052158,1.0007570570668523,0.21544028076887903,0.26806135128219066,0.01835879906700183,0.0002105444884911513
3360,0.0625539612520714,0.6666666677777814,2.0694497897610113,4.285714286734681,2.124399214773121,0.7999805283215651,0.571089438248824,0.15222156804452797,0.06078894200268243
2467,0.5950831236912518,0.6142343785982102,4.285714286734702,1.1727808801975914,1.5629683904694547,0.289818264468378,0.9248148480117333,0.017017514189637404,0.38314199878669275
4132,0.4591363534262682,0.39535628938894096,3.2548392054402013,0.13921249019139356,2.6266419070720417,0.29455524794423965,0.0397879376829277,0.03799677434626514,0.17096358021874625
5157,0.24537787825699142,0.6666666677777743,3.9771281166628185,0.1582538463491845,1.1604584080943288,0.4994474888389833,0.17669074222754189,0.2557776074771819,0.03210933343564336
3110,0.11208949569153505,0.6666666677777838,2.853322563913369,0.5769635015443998,0.8856751210184883,0.7199218827721842,0.10775557667889682,0.055137366805240985,2.8054940293045767e-05
8103,0.16470286668249365,0.6666666677777814,1.5234662189675152,1.0514660320542821,0.8638928494320919,0.12102720175000901,0.9099039527072419,0.40663652472944106,0.03559923953524463
5161,0.18790549934788084,0.6666666677777641,3.706729597983673,4.285714286734683,0.5484390909528009,0.8500146673922037,0.0367777855843474,0.903029569360703,0.12581888016645204
3114,0.6666666677777743,0.09471483534425756,4.014807733166089,0.7209718802979991,0.5396106021670287,0.5908285537628155,0.0003022756542877022,0.02182519217031879,0.1697786344936758
8106,0.0912746774916271,0.6666666677777854,3.916569024789984,4.179088684518057,2.6298277134420345,0.2986669715790434,0.18933836768395176,0.023133779392649222,0.004626702339375587
3500,0.6666666675493924,0.13820891542050398,2.2143484517542737,1.189322909401099,3.2779376096478243,0.9395508622793722,0.0018108427227822533,0.28415400804124924,0.571612288621152
3631,0.278086239080109,0.17068393872951437,1.760748480490053,3.3182668490140586,7.886244769004999,0.6110065267738127,1.9503336905138458,0.04347290505604641,0.05117061467852803
6450,0.6666666537293029,0.0071878899342599925,1.9123084068636607,0.7191319690598098,1.0821614555137262,0.3403982497349262,0.9935727364862623,0.04686093926313383,0.13660759069687914
6067,0.6666666677777902,0.009109889562963002,3.9282503701635267,0.00016028499280977567,1.7280046475473059,0.6899872624008765,0.0011506866666633458,0.038172856423349735,0.019006118397737255
8242,0.17731714411617736,0.04189174844016291,0.06524019427585202,0.26696512598722644,2.5134185676819425,0.11145045164964741,0.473464713175932,0.00026677008007629807,0.010336820315405044
2101,0.39088998540231623,0.6666648760982302,3.939233790145617,2.404214617951541,2.2198275854638867,0.009116752740265462,2.155881250353477,0.027684626711926064,0.05235874339434531
3895,0.20139022684144908,0.6666666677777814,2.6868258169172132,0.8185015367329505,1.5046874560297798,0.7998516327985629,4.185162465561348,0.053542811853756096,8.82207423476637e-05
2104,0.10280480781109251,0.06358714775519601,4.120703688312844,0.0002435735521888375,0.12159051492249001,0.2101242719066444,0.38050829933227837,0.029261847593385546,0.003562556162341956
2105,0.11449137931886479,0.2656959558371651,2.7712032686684647,0.6281808819067776,1.1561602163845126,0.025189524884377437,1.2388327503702117,0.00011695497154614417,0.004876484719171908
1978,0.07527538835823416,0.5952805421044551,1.414126058800196,1.176056887219918,0.44455528536743305,0.807032399868855,3.4933496036752776,0.08120738810908217,0.1409621247435261
6074,0.34264810037814036,0.2613470562718239,1.1484183206709944,2.916908250807628,2.8252638768279064,0.5460993390652152,0.16472049969848523,0.2297542793769579,0.1740459214514971
9145,0.11764181926267776,0.49092590162859756,2.4296017594909722,2.13646371427312,5.622719713670569,0.09894982290835881,2.2839063011417324,0.027845287634086897,0.6666653918456599
